    T                            dE              I                   X
 0.10                       0.79856        0.12001        0.0798559971
 0.20                       0.00000        0.12000        0.0000000000
 0.30                       0.39700        0.11992        0.1190999970
 0.40                       9.70991        0.26062        3.8839639947
 0.50                      29.33849        0.14363       14.6692440026
 0.60                   18719.86181        0.68078    11231.9170840010
 0.70                       2.01488        0.99998        1.4104159959
 0.80                       9.96968        0.99990        7.9757440016
 0.90                      26.31972        0.99970       23.6877440028
 1.00                      63.35960        0.99927       63.3596000038
 1.10                     114.85300        0.99843      126.3383040018
 1.20                     198.02533        0.99704      237.6303999983
 1.30                     350.25107        0.99466      455.3263959996
 1.40                     504.74834        0.99134      706.6476760022
 1.50                     719.42140        0.98659     1079.1320960000
 1.60                    1057.92328        0.97942     1692.6772440039
 1.70                    1422.32952        0.96975     2417.9601760022
 1.80                    1882.85182        0.95645     3389.1332760043
 1.90                    2683.93260        0.93762     5099.4719360024
 2.00                    3763.90075        0.91110     7527.8014999963
 2.10                    5264.37546        0.86714    11055.1884640008
 2.20                    7662.25777        0.77364    16856.9671000000
 2.30                   10978.54287        0.47997    25250.6486040018
 2.40                    7346.99167        0.23076    17632.7800159995
 2.50                    5229.55313        0.11189    13073.8828160008
 2.60                    4533.39025        0.10119    11786.8146559997
 2.70                    4170.80199        0.07796    11261.1653760010
 2.80                    3468.64802        0.06839     9712.2144639995
 2.90                    3276.99500        0.05940     9503.2854999993
 3.00                    2990.59063        0.05422     8971.7719000001
 3.10                    2920.56025        0.04931     9053.7367639998
 3.20                    2596.40576        0.04515     8308.4984160000
 3.30                    2551.41673        0.04256     8419.6751959999
 3.40                    2312.77541        0.04259     7863.4364000000
 3.50                    2188.15753        0.03872     7658.5513560004
 3.60                    2171.31031        0.03690     7816.7171160001
 3.70                    1938.10376        0.03604     7170.9838999999
 3.80                    1910.49583        0.03446     7259.8841559999
 3.90                    1831.46562        0.03358     7142.7158999997
 4.00                    1769.81578        0.03353     7079.2631040001

